SNO,Date,Time,MQ138,Voltage_V
449,26-09-2025,14:48:53:516285,2509,4.03
450,26-09-2025,14:48:57:206285,2473,4.04
451,26-09-2025,14:49:00:280285,2507,3.99
452,26-09-2025,14:49:03:546285,2476,3.99
453,26-09-2025,14:49:07:028285,2503,3.97
454,26-09-2025,14:49:10:307285,2502,4.06
455,26-09-2025,14:49:13:996285,2512,4.04
456,26-09-2025,14:49:17:274285,2470,4.02
457,26-09-2025,14:49:20:338285,2467,4.02
458,26-09-2025,14:49:23:624285,2465,4.01
459,26-09-2025,14:49:26:899285,2512,4.01
460,26-09-2025,14:49:31:812285,2467,4.01
461,26-09-2025,14:49:34:878284,2467,4.03
462,26-09-2025,14:49:39:569285,2473,4.01
463,26-09-2025,14:49:42:864284,2502,4
464,26-09-2025,14:49:46:765285,2464,4.01
465,26-09-2025,14:49:50:246285,2503,4.05
466,26-09-2025,14:49:53:518285,2505,4.03
467,26-09-2025,14:49:56:807285,2501,4.01
468,26-09-2025,14:49:59:869285,2467,4.02
469,26-09-2025,14:50:03:965285,2465,4.02
470,26-09-2025,14:50:07:052285,2465,4.02
471,26-09-2025,14:50:10:312285,2505,4.05
472,26-09-2025,14:50:14:424285,2502,4
473,26-09-2025,14:50:19:325285,2470,4.01
474,26-09-2025,14:50:23:424285,2467,4.1
475,26-09-2025,14:50:26:499285,2498,4.11
476,26-09-2025,14:50:29:977285,2503,4.05
477,26-09-2025,14:50:33:453284,2507,4.04
478,26-09-2025,14:50:36:942284,2499,4.11
479,26-09-2025,14:50:40:225285,2457,4.05
480,26-09-2025,14:50:43:697285,2463,4.01
481,26-09-2025,14:50:46:765285,2469,4.02
482,26-09-2025,14:50:50:453285,2506,4.01
483,26-09-2025,14:50:53:940285,2507,4
484,26-09-2025,14:50:57:217285,2502,4.03
485,26-09-2025,14:51:00:897285,2461,4.03
486,26-09-2025,14:51:04:179284,2502,4.08
487,26-09-2025,14:51:08:082284,2502,3.92
488,26-09-2025,14:51:11:551285,2503,4
489,26-09-2025,14:51:15:441285,2462,4
490,26-09-2025,14:51:18:926285,2465,4.05
491,26-09-2025,14:51:21:991285,2500,4.01
492,26-09-2025,14:51:25:267284,2461,4.01
493,26-09-2025,14:51:28:345285,2455,4
494,26-09-2025,14:51:31:617285,2496,3.99
495,26-09-2025,14:51:34:894285,2500,4.01
496,26-09-2025,14:51:38:195285,2497,4.17
497,26-09-2025,14:51:41:247284,2498,4.03
498,26-09-2025,14:51:45:135285,2506,4.01
499,26-09-2025,14:51:48:615284,2504,4.01
500,26-09-2025,14:51:52:101285,2497,4.05
501,26-09-2025,14:51:55:791436,2450,4.06
502,26-09-2025,14:51:59:883285,2497,4.01
503,26-09-2025,14:52:03:366285,2459,4.04
504,26-09-2025,14:52:06:848285,2459,4.02
505,26-09-2025,14:52:09:715284,2500,4.01
506,26-09-2025,14:52:12:985285,2457,4
507,26-09-2025,14:52:15:859285,2496,4.01
508,26-09-2025,14:52:19:755285,2496,4.03
509,26-09-2025,14:52:23:130285,2461,4.03
510,26-09-2025,14:52:26:706284,2455,4.19
511,26-09-2025,14:52:29:987285,2462,3.99
512,26-09-2025,14:52:33:675285,2462,4.04
513,26-09-2025,14:52:36:752285,2496,3.99
514,26-09-2025,14:52:41:050331,2447,3.93
515,26-09-2025,14:52:44:321285,2498,4.03
516,26-09-2025,14:52:47:610318,2448,4.04
517,26-09-2025,14:52:51:281285,2463,3.99
518,26-09-2025,14:52:54:979284,2491,4.18
519,26-09-2025,14:52:58:456284,2454,4.01
520,26-09-2025,14:53:01:938285,2495,3.98
521,26-09-2025,14:53:05:215285,2495,4
522,26-09-2025,14:53:08:490285,2453,4.01
523,26-09-2025,14:53:12:587285,2453,4.03
524,26-09-2025,14:53:15:665301,2448,4.03
525,26-09-2025,14:53:18:929284,2490,4.01
526,26-09-2025,14:53:22:420285,2487,4.03
527,26-09-2025,14:53:26:311371,2448,4
528,26-09-2025,14:53:29:382284,2453,4.03
529,26-09-2025,14:53:33:282285,2493,4.03
530,26-09-2025,14:53:36:547284,2496,4.02
531,26-09-2025,14:53:40:028285,2493,4
532,26-09-2025,14:53:43:308285,2455,4.01
533,26-09-2025,14:53:46:378285,2486,4.03
534,26-09-2025,14:53:49:245285,2500,4
535,26-09-2025,14:53:52:629284,2495,4.01
536,26-09-2025,14:53:55:998285,2453,4.01
537,26-09-2025,14:53:59:078285,2454,4
538,26-09-2025,14:54:02:358285,2492,4.02
