SNO,Date,Time,HeaterProfile,BME_Temp,BME_Hum,BME_GasResistance
431,13-08-2025,11:41:26:055474,322,21.83,45.83,57028
432,13-08-2025,11:41:27:282554,322,21.84,45.81,57450
433,13-08-2025,11:41:28:717474,322,21.84,45.82,57334
434,13-08-2025,11:41:30:156474,322,21.83,45.81,57219
435,13-08-2025,11:41:31:564474,322,21.83,45.8,57296
436,13-08-2025,11:41:32:791474,322,21.84,45.8,57411
437,13-08-2025,11:41:34:228474,322,21.84,45.77,57411
438,13-08-2025,11:41:35:659474,322,21.84,45.76,57334
439,13-08-2025,11:41:37:092474,322,21.83,45.75,57219
440,13-08-2025,11:41:38:527474,322,21.82,45.72,57028
441,13-08-2025,11:41:39:755474,322,21.83,45.68,57181
442,13-08-2025,11:41:41:188473,322,21.83,45.63,57104
443,13-08-2025,11:41:43:034474,322,21.81,45.6,56239
444,13-08-2025,11:41:44:466473,322,21.8,45.59,56276
