SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_Gas(kOhm),SGP40_VOC,Activated,Concentration,Distance
215,28-07-2025,21:54:18:444528,Puff,322,119,4095,30.06,62.5,94.9,30868,YES,N/A,0
216,28-07-2025,21:54:20:250524,Puff,322,80,4095,30.05,62.56,95.11,30866,YES,N/A,0
217,28-07-2025,21:54:22:056528,Puff,322,89,4095,30.04,62.57,94.74,30867,YES,N/A,0
218,28-07-2025,21:54:23:862524,Puff,322,123,4095,30.04,62.56,95.06,30867,YES,N/A,0
219,28-07-2025,21:54:25:668528,Puff,322,125,4095,30.04,62.53,95.17,30867,YES,N/A,0
220,28-07-2025,21:54:27:474524,Puff,322,77,4095,30.04,62.54,95.11,30864,YES,N/A,0
221,28-07-2025,21:54:29:281528,Puff,322,125,4095,30.04,62.57,95.17,30868,YES,N/A,0
222,28-07-2025,21:54:31:087525,Puff,322,78,4095,30.04,62.55,95.06,30870,YES,N/A,0
223,28-07-2025,21:54:32:893528,Puff,322,113,4095,30.05,62.56,94.69,30871,YES,N/A,0
224,28-07-2025,21:54:34:699524,Puff,322,116,4095,30.06,62.54,95.01,30867,YES,N/A,0
225,28-07-2025,21:54:36:505528,Puff,322,118,4095,30.07,62.52,94.85,30865,YES,N/A,0
226,28-07-2025,21:54:38:311524,Post-Puff,322,79,4095,30.07,62.53,95.17,30868,YES,N/A,0
227,28-07-2025,21:54:40:117528,Post-Puff,322,75,4095,30.07,62.51,95.11,30870,YES,N/A,0
228,28-07-2025,21:54:41:923525,Post-Puff,322,117,4095,30.06,62.48,95.01,30867,YES,N/A,0
229,28-07-2025,21:54:43:729528,Post-Puff,322,115,4095,30.05,62.49,94.95,30867,YES,N/A,0
230,28-07-2025,21:54:45:535525,Post-Puff,322,114,4095,30.05,62.51,95.06,30869,YES,N/A,0
231,28-07-2025,21:54:47:341528,Post-Puff,322,80,4095,30.05,62.53,94.64,30871,YES,N/A,0
232,28-07-2025,21:54:49:148524,Post-Puff,322,120,4095,30.05,62.52,95.22,30866,YES,N/A,0
233,28-07-2025,21:54:50:954528,Post-Puff,322,119,4095,30.05,62.54,94.8,30867,YES,N/A,0
234,28-07-2025,21:54:52:760525,Post-Puff,322,114,4095,30.06,62.54,94.95,30870,YES,N/A,0
235,28-07-2025,21:54:54:566528,Post-Puff,322,119,4095,30.06,62.56,94.85,30868,YES,N/A,0
